epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,experiment
94,1517.01,0.65568,0.37312,0.99327,0.99094,0.99468,0.9914,0.79058,0.8038,0.27932,1.08527,0.000203141,0.000203141,0.000203141,Baseline
95,1533.23,0.66205,0.37704,0.99573,0.9902,0.99287,0.98927,0.78792,0.79875,0.27983,1.07972,0.00019967,0.00019967,0.00019967,Baseline
96,1549.78,0.64906,0.37119,0.99001,0.99139,0.9939,0.99053,0.78956,0.80447,0.27513,1.06645,0.000196198,0.000196198,0.000196198,Baseline
97,1565.75,0.65472,0.3742,0.9907,0.9906,0.99277,0.99091,0.78699,0.80748,0.27877,1.09052,0.000192726,0.000192726,0.000192726,Baseline
98,1582.13,0.64599,0.36775,0.98997,0.99127,0.99274,0.9909,0.78715,0.81209,0.27862,1.10207,0.000189255,0.000189255,0.000189255,Baseline
99,1598.55,0.64424,0.36545,0.99133,0.99103,0.99374,0.99092,0.78833,0.80324,0.27928,1.10179,0.000185783,0.000185783,0.000185783,Baseline
100,1614.37,0.64735,0.37113,0.99216,0.99023,0.99303,0.99068,0.78732,0.81236,0.28475,1.09864,0.000182312,0.000182312,0.000182312,Baseline
101,1630.57,0.64729,0.37152,0.99397,0.99235,0.99541,0.99131,0.7885,0.80359,0.27814,1.10809,0.00017884,0.00017884,0.00017884,Baseline
102,1646.74,0.64704,0.37226,0.9934,0.99248,0.99327,0.98965,0.78765,0.80433,0.27933,1.10477,0.000175368,0.000175368,0.000175368,Baseline
103,1661.96,0.64213,0.36493,0.99076,0.98985,0.9932,0.99184,0.78888,0.79808,0.27839,1.10681,0.000171897,0.000171897,0.000171897,Baseline
104,1678.24,0.6402,0.36898,0.9902,0.99168,0.99333,0.99025,0.79008,0.8047,0.27849,1.10472,0.000168425,0.000168425,0.000168425,Baseline
105,1694.06,0.63586,0.3658,0.98848,0.99131,0.9945,0.99056,0.78954,0.79955,0.27608,1.10689,0.000164954,0.000164954,0.000164954,Baseline
106,1710.14,0.63134,0.3639,0.98779,0.99334,0.99557,0.99126,0.79145,0.79986,0.27675,1.10827,0.000161482,0.000161482,0.000161482,Baseline
107,1724.98,0.63399,0.36636,0.98612,0.98969,0.99152,0.98909,0.79112,0.79501,0.27456,1.10063,0.00015801,0.00015801,0.00015801,Baseline
108,1741,0.63491,0.36434,0.98808,0.99344,0.99511,0.99136,0.78977,0.80189,0.27685,1.10736,0.000154539,0.000154539,0.000154539,Baseline
109,1757.09,0.62456,0.36139,0.98516,0.99463,0.99516,0.99127,0.78789,0.80963,0.2803,1.12712,0.000151067,0.000151067,0.000151067,Baseline
110,1772.89,0.62799,0.35854,0.98337,0.9928,0.99321,0.98926,0.78891,0.80767,0.27332,1.10212,0.000147596,0.000147596,0.000147596,Baseline
111,1789.01,0.62074,0.35564,0.98106,0.99315,0.99332,0.99092,0.79205,0.79876,0.27456,1.09456,0.000144124,0.000144124,0.000144124,Baseline
112,1804.65,0.62881,0.36579,0.97991,0.99143,0.99361,0.99065,0.79066,0.79789,0.27126,1.09083,0.000140652,0.000140652,0.000140652,Baseline
113,1820.45,0.62385,0.36111,0.98145,0.99212,0.99303,0.99078,0.78986,0.7997,0.27282,1.09665,0.000137181,0.000137181,0.000137181,Baseline
114,1836.03,0.61383,0.35268,0.9778,0.99323,0.99439,0.99095,0.79009,0.80077,0.27578,1.11494,0.000133709,0.000133709,0.000133709,Baseline
115,1852.08,0.61937,0.35456,0.98211,0.99099,0.9942,0.99041,0.78941,0.79818,0.27558,1.10621,0.000130238,0.000130238,0.000130238,Baseline
116,1868.25,0.62109,0.35707,0.9762,0.99198,0.99375,0.99039,0.78929,0.80178,0.27203,1.0984,0.000126766,0.000126766,0.000126766,Baseline
117,1884.73,0.61654,0.35486,0.97836,0.99271,0.99375,0.99064,0.79226,0.80066,0.27372,1.10541,0.000123294,0.000123294,0.000123294,Baseline
118,1901.01,0.61448,0.34911,0.97701,0.99318,0.99391,0.9907,0.78861,0.81381,0.27591,1.10763,0.000119823,0.000119823,0.000119823,Baseline
119,1917.39,0.61015,0.34943,0.97859,0.99235,0.99429,0.99096,0.7911,0.80142,0.2747,1.12001,0.000116351,0.000116351,0.000116351,Baseline
120,1933.73,0.61136,0.35045,0.98022,0.99277,0.99439,0.99064,0.78954,0.80631,0.27358,1.12889,0.00011288,0.00011288,0.00011288,Baseline
121,1949.93,0.6099,0.35083,0.97751,0.99259,0.99416,0.99076,0.78833,0.80823,0.2748,1.1331,0.000109408,0.000109408,0.000109408,Baseline
122,1965.81,0.61166,0.35324,0.97876,0.99217,0.9931,0.99075,0.78854,0.81022,0.27535,1.12476,0.000105936,0.000105936,0.000105936,Baseline
123,1981.12,0.61021,0.34821,0.97593,0.99306,0.99408,0.99085,0.78742,0.80916,0.27455,1.13318,0.000102465,0.000102465,0.000102465,Baseline
124,1996.17,0.59995,0.34321,0.97155,0.99153,0.99306,0.99081,0.7892,0.80802,0.27654,1.13024,9.89932e-05,9.89932e-05,9.89932e-05,Baseline
125,2012.42,0.60775,0.3498,0.98012,0.9918,0.99407,0.99092,0.7903,0.80871,0.27441,1.12798,9.55216e-05,9.55216e-05,9.55216e-05,Baseline
126,2028.55,0.60449,0.34645,0.97561,0.99271,0.99393,0.9907,0.79158,0.8069,0.27509,1.11696,9.205e-05,9.205e-05,9.205e-05,Baseline
127,2044.75,0.60321,0.34209,0.97299,0.99303,0.99388,0.99087,0.78854,0.80777,0.27386,1.11786,8.85784e-05,8.85784e-05,8.85784e-05,Baseline
128,2061.12,0.59962,0.34428,0.96971,0.99337,0.99266,0.99043,0.78689,0.81323,0.27544,1.12328,8.51068e-05,8.51068e-05,8.51068e-05,Baseline
129,2077.33,0.59344,0.33723,0.97309,0.99275,0.99163,0.99074,0.7877,0.81037,0.27451,1.13672,8.16352e-05,8.16352e-05,8.16352e-05,Baseline
130,2093.64,0.59976,0.34166,0.97812,0.99376,0.99255,0.99087,0.7856,0.80809,0.27369,1.13068,7.81636e-05,7.81636e-05,7.81636e-05,Baseline
131,2109.66,0.59326,0.34265,0.97196,0.99411,0.99394,0.99083,0.78626,0.81358,0.27504,1.13233,7.4692e-05,7.4692e-05,7.4692e-05,Baseline
132,2125.64,0.59656,0.34012,0.97404,0.99365,0.99272,0.99095,0.78827,0.81081,0.27481,1.13174,7.12204e-05,7.12204e-05,7.12204e-05,Baseline
133,2141.76,0.59097,0.33494,0.96792,0.99275,0.99281,0.99082,0.79152,0.80524,0.27216,1.1208,6.77488e-05,6.77488e-05,6.77488e-05,Baseline
134,2157.9,0.59223,0.33767,0.97053,0.99322,0.99302,0.99094,0.78929,0.80983,0.27201,1.1174,6.42772e-05,6.42772e-05,6.42772e-05,Baseline
135,2171.5,0.59577,0.34235,0.96783,0.99319,0.99302,0.99096,0.78905,0.80914,0.27044,1.11996,6.08056e-05,6.08056e-05,6.08056e-05,Baseline
136,2185.32,0.59091,0.33998,0.96763,0.99222,0.99268,0.99021,0.79049,0.80896,0.27237,1.12766,5.7334e-05,5.7334e-05,5.7334e-05,Baseline
137,2201.38,0.58669,0.33392,0.96649,0.99203,0.99275,0.99068,0.78908,0.80662,0.27193,1.12926,5.38624e-05,5.38624e-05,5.38624e-05,Baseline
138,2216.93,0.58698,0.33538,0.96751,0.9929,0.99269,0.9902,0.78884,0.81007,0.27417,1.14257,5.03908e-05,5.03908e-05,5.03908e-05,Baseline
139,2233.51,0.59313,0.34053,0.97465,0.99224,0.99272,0.99065,0.78702,0.8097,0.27573,1.15284,4.69192e-05,4.69192e-05,4.69192e-05,Baseline
140,2250.05,0.58632,0.33554,0.96759,0.99231,0.99248,0.99082,0.78592,0.80946,0.27259,1.1444,4.34476e-05,4.34476e-05,4.34476e-05,Baseline
141,2267.68,0.4899,0.25108,0.92029,0.99244,0.99201,0.99075,0.78567,0.811,0.27584,1.15423,3.9976e-05,3.9976e-05,3.9976e-05,Baseline
142,2284.03,0.48148,0.24315,0.91529,0.99298,0.9923,0.99089,0.78838,0.80849,0.27411,1.14759,3.65044e-05,3.65044e-05,3.65044e-05,Baseline
143,2300.26,0.48051,0.24757,0.91621,0.99272,0.99241,0.99088,0.79126,0.80774,0.27343,1.14147,3.30328e-05,3.30328e-05,3.30328e-05,Baseline
144,2316.64,0.47202,0.24085,0.90904,0.99368,0.99294,0.99092,0.78976,0.8101,0.27295,1.14541,2.95612e-05,2.95612e-05,2.95612e-05,Baseline
145,2333.01,0.47004,0.24224,0.91056,0.99376,0.99267,0.99079,0.78961,0.80862,0.27233,1.14592,2.60896e-05,2.60896e-05,2.60896e-05,Baseline
146,2349.17,0.46939,0.24,0.90952,0.9934,0.9926,0.99073,0.78932,0.80879,0.27252,1.14666,2.2618e-05,2.2618e-05,2.2618e-05,Baseline
147,2365.32,0.46727,0.24004,0.90794,0.99337,0.9927,0.99087,0.78856,0.81003,0.27386,1.14555,1.91464e-05,1.91464e-05,1.91464e-05,Baseline
148,2381.61,0.47158,0.24354,0.91114,0.99365,0.99261,0.99096,0.79071,0.81179,0.27435,1.14783,1.56748e-05,1.56748e-05,1.56748e-05,Baseline
149,2397.68,0.46741,0.24287,0.90795,0.99353,0.99258,0.99099,0.78808,0.81166,0.27399,1.15165,1.22032e-05,1.22032e-05,1.22032e-05,Baseline
150,2413.73,0.46584,0.24029,0.90806,0.99313,0.99287,0.99105,0.78865,0.81247,0.27446,1.15115,8.7316e-06,8.7316e-06,8.7316e-06,Baseline
1,20.4133,1.12393,2.98392,1.21222,0.49035,0.71082,0.59978,0.43006,0.95481,1.61995,1.1602,0.000174406,0.000174406,0.000174406,Baseline+CBAM
2,37.3532,1.0667,1.45167,1.20216,0.93412,0.94675,0.9794,0.7207,0.94237,0.83877,1.08298,0.000347431,0.000347431,0.000347431,Baseline+CBAM
3,54.0419,1.04181,1.07977,1.17436,0.92417,0.93103,0.97026,0.72042,0.91949,0.80986,1.10688,0.000518141,0.000518141,0.000518141,Baseline+CBAM
4,70.7409,1.01802,0.96089,1.1611,0.94581,0.91096,0.9731,0.72498,0.88515,0.7292,1.08996,0.000515585,0.000515585,0.000515585,Baseline+CBAM
5,87.5139,0.99776,0.86554,1.15167,0.98129,0.98115,0.99027,0.74963,0.87027,0.60273,1.0714,0.000512114,0.000512114,0.000512114,Baseline+CBAM
6,103.661,0.98108,0.81208,1.14077,0.96046,0.96039,0.98169,0.7469,0.87204,0.58709,1.04832,0.000508642,0.000508642,0.000508642,Baseline+CBAM
7,120.423,0.97058,0.76116,1.13454,0.96607,0.96332,0.98469,0.72225,0.90891,0.56965,1.10553,0.00050517,0.00050517,0.00050517,Baseline+CBAM
8,136.834,0.97047,0.74956,1.13773,0.97039,0.97816,0.9871,0.7731,0.81627,0.48961,1.0291,0.000501699,0.000501699,0.000501699,Baseline+CBAM
9,153.098,0.94047,0.71141,1.12086,0.9637,0.98158,0.98782,0.7634,0.82755,0.49397,1.0453,0.000498227,0.000498227,0.000498227,Baseline+CBAM
10,169.803,0.93956,0.68253,1.12845,0.95808,0.97769,0.98395,0.74604,0.83691,0.4693,1.06996,0.000494756,0.000494756,0.000494756,Baseline+CBAM
11,186.701,0.9212,0.66032,1.11719,0.97928,0.97934,0.98621,0.77407,0.79688,0.44349,1.04862,0.000491284,0.000491284,0.000491284,Baseline+CBAM
12,203.405,0.92844,0.63892,1.11938,0.94462,0.95922,0.98239,0.7541,0.85956,0.50693,1.05215,0.000487812,0.000487812,0.000487812,Baseline+CBAM
13,218.298,0.92128,0.62332,1.12013,0.97995,0.97319,0.98592,0.7672,0.81805,0.43015,1.05221,0.000484341,0.000484341,0.000484341,Baseline+CBAM
14,234.674,0.90765,0.60968,1.11035,0.98442,0.98551,0.99098,0.77722,0.83097,0.41448,1.05056,0.000480869,0.000480869,0.000480869,Baseline+CBAM
15,251.355,0.90643,0.6056,1.10899,0.98386,0.97987,0.98721,0.77473,0.81022,0.39894,1.04189,0.000477398,0.000477398,0.000477398,Baseline+CBAM
16,268.348,0.89236,0.59098,1.09985,0.97789,0.97805,0.98648,0.76945,0.81453,0.39853,1.03606,0.000473926,0.000473926,0.000473926,Baseline+CBAM
