epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1295.45,0.81202,0.49846,1.30437,0.99087,0.98588,0.98976,0.7906,0.78458,0.33993,1.36311,0.000248272,0.000248272,0.000248272
82,1310.27,0.81455,0.50606,1.30485,0.98608,0.98559,0.99029,0.7926,0.78821,0.34542,1.34898,0.0002448,0.0002448,0.0002448
83,1322.06,0.80778,0.4957,1.29391,0.98952,0.98805,0.99114,0.79388,0.79431,0.33617,1.33604,0.000241329,0.000241329,0.000241329
84,1334.01,0.80563,0.49897,1.29906,0.99087,0.98888,0.99135,0.7932,0.79087,0.33857,1.33444,0.000237857,0.000237857,0.000237857
85,1346.35,0.80284,0.49447,1.29527,0.98916,0.98945,0.99061,0.79633,0.78178,0.34022,1.3415,0.000234386,0.000234386,0.000234386
86,1361.1,0.79573,0.48477,1.28471,0.99082,0.9863,0.9906,0.78981,0.80049,0.3427,1.35536,0.000230914,0.000230914,0.000230914
87,1377.72,0.79621,0.48882,1.29633,0.9866,0.98917,0.9903,0.79373,0.79117,0.33423,1.33997,0.000227442,0.000227442,0.000227442
88,1394.1,0.79643,0.49274,1.28912,0.98991,0.98448,0.99003,0.79345,0.78523,0.33774,1.34394,0.000223971,0.000223971,0.000223971
89,1410.65,0.78962,0.48646,1.28259,0.98673,0.98701,0.98801,0.79018,0.7865,0.33512,1.35011,0.000220499,0.000220499,0.000220499
90,1427.14,0.79071,0.48222,1.28745,0.98754,0.98667,0.98894,0.7944,0.7795,0.33734,1.35063,0.000217028,0.000217028,0.000217028
91,1443.51,0.78792,0.48133,1.27831,0.98779,0.98552,0.9898,0.78928,0.78753,0.33488,1.34122,0.000213556,0.000213556,0.000213556
92,1460.33,0.78529,0.48136,1.28207,0.98801,0.98508,0.99004,0.79015,0.78457,0.33475,1.35426,0.000210084,0.000210084,0.000210084
93,1476.73,0.79173,0.48915,1.28856,0.9837,0.9832,0.98744,0.79375,0.78309,0.33629,1.36146,0.000206613,0.000206613,0.000206613
94,1492.89,0.78444,0.48099,1.27733,0.99073,0.99049,0.99162,0.80004,0.775,0.32756,1.34226,0.000203141,0.000203141,0.000203141
95,1509.52,0.78602,0.47964,1.28218,0.98939,0.9888,0.98979,0.79181,0.77854,0.33088,1.36004,0.00019967,0.00019967,0.00019967
96,1525.79,0.77535,0.47577,1.27082,0.9901,0.98475,0.99143,0.79282,0.77845,0.33179,1.34995,0.000196198,0.000196198,0.000196198
97,1542.3,0.77637,0.47958,1.26625,0.99032,0.9906,0.99088,0.79089,0.79487,0.33192,1.3595,0.000192726,0.000192726,0.000192726
98,1558.95,0.77276,0.46918,1.26544,0.99082,0.98931,0.9913,0.79358,0.78348,0.32655,1.34283,0.000189255,0.000189255,0.000189255
99,1574.53,0.77469,0.46961,1.27061,0.99078,0.99106,0.99155,0.79769,0.77952,0.32517,1.35338,0.000185783,0.000185783,0.000185783
100,1590.58,0.77607,0.47329,1.26998,0.99091,0.98854,0.99008,0.7923,0.78611,0.32862,1.35351,0.000182312,0.000182312,0.000182312
101,1606.92,0.77556,0.47413,1.26903,0.98985,0.9869,0.99072,0.79507,0.78404,0.32517,1.35677,0.00017884,0.00017884,0.00017884
102,1623.37,0.7722,0.47366,1.2685,0.99148,0.99078,0.99018,0.79467,0.78386,0.32748,1.35997,0.000175368,0.000175368,0.000175368
103,1639.55,0.76987,0.4682,1.26544,0.99119,0.99115,0.99075,0.79356,0.78598,0.32634,1.34508,0.000171897,0.000171897,0.000171897
104,1655.88,0.76598,0.47136,1.26744,0.99163,0.98839,0.99031,0.79433,0.7741,0.32354,1.36274,0.000168425,0.000168425,0.000168425
105,1671.7,0.76396,0.46542,1.2586,0.99271,0.98996,0.98985,0.7958,0.77846,0.32235,1.35462,0.000164954,0.000164954,0.000164954
106,1688.25,0.76172,0.46457,1.25822,0.99021,0.98788,0.98955,0.79367,0.78269,0.32549,1.35761,0.000161482,0.000161482,0.000161482
107,1704.58,0.76328,0.46912,1.25752,0.99108,0.99024,0.99019,0.78977,0.79117,0.32738,1.34846,0.00015801,0.00015801,0.00015801
108,1720.31,0.76806,0.4695,1.26379,0.99226,0.98974,0.98927,0.79639,0.77861,0.32266,1.36202,0.000154539,0.000154539,0.000154539
109,1736.51,0.75511,0.46645,1.2549,0.99063,0.98908,0.9894,0.79343,0.78205,0.3237,1.36278,0.000151067,0.000151067,0.000151067
110,1752.7,0.75827,0.45961,1.25376,0.99077,0.98864,0.98988,0.7955,0.77632,0.32491,1.35859,0.000147596,0.000147596,0.000147596
111,1769.21,0.75055,0.45911,1.25278,0.98953,0.98836,0.99045,0.79557,0.77538,0.32386,1.35629,0.000144124,0.000144124,0.000144124
112,1785.22,0.75987,0.47379,1.25529,0.99148,0.98764,0.99057,0.79347,0.78609,0.32271,1.36531,0.000140652,0.000140652,0.000140652
113,1801.5,0.75427,0.46302,1.24891,0.98959,0.98851,0.98993,0.79467,0.78302,0.32361,1.351,0.000137181,0.000137181,0.000137181
114,1817.9,0.74206,0.45357,1.24073,0.98972,0.98801,0.99006,0.79396,0.77904,0.32225,1.36139,0.000133709,0.000133709,0.000133709
115,1834.2,0.74699,0.45723,1.24719,0.99034,0.98588,0.99016,0.79066,0.78508,0.32637,1.3608,0.000130238,0.000130238,0.000130238
116,1850.92,0.75335,0.4589,1.24382,0.98903,0.98533,0.99028,0.79082,0.78516,0.32912,1.35498,0.000126766,0.000126766,0.000126766
117,1866.73,0.75041,0.45956,1.24851,0.98795,0.98914,0.99024,0.79397,0.77998,0.32066,1.34878,0.000123294,0.000123294,0.000123294
118,1882.85,0.7426,0.45358,1.24229,0.98746,0.9909,0.99116,0.79177,0.78926,0.32016,1.35152,0.000119823,0.000119823,0.000119823
119,1898.94,0.74061,0.45575,1.24488,0.99015,0.98734,0.99057,0.78922,0.78663,0.32336,1.36812,0.000116351,0.000116351,0.000116351
120,1915.47,0.7425,0.45467,1.24443,0.99045,0.99012,0.99069,0.79612,0.785,0.32246,1.35872,0.00011288,0.00011288,0.00011288
121,1931.73,0.74122,0.45308,1.23586,0.98755,0.98844,0.98894,0.79385,0.78021,0.32151,1.36032,0.000109408,0.000109408,0.000109408
122,1947.72,0.74194,0.45686,1.24062,0.99066,0.98857,0.99054,0.79326,0.78338,0.31802,1.35946,0.000105936,0.000105936,0.000105936
